Pos Pengungsian,Lokasi,Latitude,Longitude,Kabupaten,Kecamatan,Desa
MDA dan SDN 11,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
MTS N Terpadu,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Mushola Posko pengungsian,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Musholla (Bawan),Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
Nagari Bawan - Masjid dan Tenda pengungsian,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
RSUD Lubuk Basung,Agam - Lubuk Basung,-0.33,100.04,Agam,Lubuk Basung,Lubuk Basung
Rumah Batu Salamo,Agam - Tanjung Mutiara,-0.45,100.05,Padang Pariaman,Sungai Garingging,Batu Gadang Kuranji Hulu
Rumah Buk Irdawati Jambu Putiah,Agam - Tanjung Mutiara,-0.45,100.05,Padang Pariaman,Sungai Garingging,Batu Gadang Kuranji Hulu
Rumah Kerabat,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Rumah Masyarakat,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
SDN 19 Koto Tinggi,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Simpang 4 Koto Tinggi,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Simpang Patai,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
Sungai Rangeh,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Tanah Lapang,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Tempat saudara (Bawan),Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
Asrama maritim belakang aciak mart,Kota Padang - Koto Tangah,-0.865,100.345,Kota Padang,Koto Tangah,Bungo Pasang
Balai pertemuan RT 2 RW 8,Kota Padang - Kuranji,-0.9,100.4,Kota Padang,Kuranji,Gunung Sarik
Bidan Marni Novera,Kota Padang - Kuranji,-0.9,100.4,Kota Padang,Kuranji,Gunung Sarik
"Cupak (Cupak / Cupak Tangah), Pauh",Kota Padang - Pauh,-0.915,100.41,Kota Padang,Kuranji,Korong Gadang
Dadok Tunggul Hitam,Kota Padang - Koto Tangah,-0.865,100.345,Kota Padang,Koto Tangah,Bungo Pasang
Gedung serbaguna Kp.KB RT 4 RW 4,Kota Padang - Kuranji,-0.9,100.4,Kota Padang,Kuranji,Gunung Sarik
Gudang pinang jl pulai raya RT 003 RW 002,Kota Padang - Koto Tangah,-0.865,100.345,Kota Padang,Koto Tangah,Bungo Pasang
Kantor perikanan RT 02 RW 07,Kota Padang - Koto Tangah,-0.865,100.345,Kota Padang,Koto Tangah,Bungo Pasang
Kelurahan Tabing Banda Gadang,Kota Padang - Nanggalo,-0.89,100.37,Kota Padang,Nanggalo,Surau Gadang
Kurao Pagang,Kota Padang - Nanggalo,-0.89,100.37,Kota Padang,Nanggalo,Surau Gadang
Lubuk Minturun,Kota Padang - Koto Tangah,-0.865,100.345,Kota Padang,Koto Tangah,Bungo Pasang
